	0	1	2	3
9	Nov 4th 2013	http://www.profightdb.com/cards/wwe/superstars-taping-17440.html	Greenville	South Carolina
0	Oct 29th 2013	http://www.profightdb.com/cards/wwe/smackdown-taping-17428.html	Tampa	Florida
1	Oct 29th 2013	http://www.profightdb.com/cards/wwe/main-event-taping-17427.html	Tampa	Florida
2	Oct 28th 2013	http://www.profightdb.com/cards/wwe/monday-night-raw-17426.html	Orlando	Florida
3	Oct 28th 2013	http://www.profightdb.com/cards/wwe/superstars-taping-17425.html	Orlando	Florida
4	Oct 27th 2013	http://www.profightdb.com/cards/wwe/hell-in-a-cell-3913-17424.html	Miami	Florida
5	Oct 22nd 2013	http://www.profightdb.com/cards/wwe/smackdown-taping-17405.html	Birmingham	Alabama
6	Oct 22nd 2013	http://www.profightdb.com/cards/wwe/main-event-taping-17404.html	Birmingham	Alabama
7	Oct 21st 2013	http://www.profightdb.com/cards/wwe/monday-night-raw-17402.html	Memphis	Tennessee
8	Oct 21st 2013	http://www.profightdb.com/cards/wwe/superstars-taping-17401.html	Memphis	Tennessee
9	Oct 15th 2013	http://www.profightdb.com/cards/wwe/smackdown-taping-17385.html	Kansas City	Missouri
0	Oct 15th 2013	http://www.profightdb.com/cards/wwe/main-event-taping-17384.html	Kansas City	Missouri
1	Oct 14th 2013	http://www.profightdb.com/cards/wwe/superstars-taping-17387.html	St. Louis	Missouri
2	Oct 14th 2013	http://www.profightdb.com/cards/wwe/monday-night-raw-17383.html	St. Louis	Missouri
