	0	1	2	3
9	Sep 28th 1994	http://www.profightdb.com/cards/wwf/action-zone-2-15436.html	White Plains	New York
0	Sep 28th 1994	http://www.profightdb.com/cards/wwf/action-zone-1-15435.html	White Plains	New York
1	Sep 28th 1994	http://www.profightdb.com/cards/wwf/wrestling-challenge-taping-424-15381.html	White Plains	New York
2	Sep 28th 1994	http://www.profightdb.com/cards/wwf/wrestling-challenge-taping-423-15380.html	White Plains	New York
3	Sep 28th 1994	http://www.profightdb.com/cards/wwf/wrestling-challenge-taping-422-15379.html	White Plains	New York
4	Sep 27th 1994	http://www.profightdb.com/cards/wwf/superstars-of-wrestling-taping-422-13237.html	Poughkeepsie	New York
5	Sep 27th 1994	http://www.profightdb.com/cards/wwf/superstars-of-wrestling-taping-421-13236.html	Poughkeepsie	New York
6	Sep 27th 1994	http://www.profightdb.com/cards/wwf/superstars-of-wrestling-taping-420-13235.html	Poughkeepsie	New York
7	Sep 26th 1994	http://www.profightdb.com/cards/wwf/monday-night-raw-taping-883.html	Utica	New York
8	Sep 26th 1994	http://www.profightdb.com/cards/wwf/monday-night-raw-taping-882.html	Utica	New York
9	Sep 26th 1994	http://www.profightdb.com/cards/wwf/monday-night-raw-881.html	Utica	New York
0	Aug 31st 1994	http://www.profightdb.com/cards/wwf/superstars-of-wrestling-taping-419-13234.html	Green Bay	Wisconsin
1	Aug 31st 1994	http://www.profightdb.com/cards/wwf/superstars-of-wrestling-taping-418-13233.html	Green Bay	Wisconsin
2	Aug 31st 1994	http://www.profightdb.com/cards/wwf/superstars-of-wrestling-taping-417-13232.html	Green Bay	Wisconsin
3	Aug 30th 1994	http://www.profightdb.com/cards/wwf/wrestling-challenge-taping-421-15378.html	Milwaukee	Wisconsin
4	Aug 30th 1994	http://www.profightdb.com/cards/wwf/wrestling-challenge-taping-420-15377.html	Milwaukee	Wisconsin
5	Aug 30th 1994	http://www.profightdb.com/cards/wwf/wrestling-challenge-taping-419-15373.html	Milwaukee	Wisconsin
6	Aug 29th 1994	http://www.profightdb.com/cards/wwf/summerslam-3994-36.html	Chicago	Illinois
7	Aug 25th 1994	http://www.profightdb.com/cards/wwf/msg-show-aug-3994-5142.html	New York	New York
8	Aug 17th 1994	http://www.profightdb.com/cards/wwf/superstars-of-wrestling-taping-416-13231.html	Portland	Maine
9	Aug 17th 1994	http://www.profightdb.com/cards/wwf/superstars-of-wrestling-taping-415-13230.html	Portland	Maine
0	Aug 17th 1994	http://www.profightdb.com/cards/wwf/superstars-of-wrestling-taping-414-13229.html	Portland	Maine
1	Aug 16th 1994	http://www.profightdb.com/cards/wwf/wrestling-challenge-taping-418-15372.html	Lowell	Massachusetts
2	Aug 16th 1994	http://www.profightdb.com/cards/wwf/wrestling-challenge-taping-417-15371.html	Lowell	Massachusetts
3	Aug 16th 1994	http://www.profightdb.com/cards/wwf/wrestling-challenge-taping-416-15370.html	Lowell	Massachusetts
4	Aug 15th 1994	http://www.profightdb.com/cards/wwf/monday-night-raw-taping-880.html	Lowell	Massachusetts
5	Aug 15th 1994	http://www.profightdb.com/cards/wwf/monday-night-raw-taping-879.html	Lowell	Massachusetts
6	Aug 15th 1994	http://www.profightdb.com/cards/wwf/monday-night-raw-878.html	Lowell	Massachusetts
7	Aug 3rd 1994	http://www.profightdb.com/cards/wwf/wrestling-challenge-taping-415-15369.html	Cincinnati	Ohio
8	Aug 3rd 1994	http://www.profightdb.com/cards/wwf/wrestling-challenge-taping-414-15368.html	Cincinnati	Ohio
9	Aug 3rd 1994	http://www.profightdb.com/cards/wwf/wrestling-challenge-taping-413-15367.html	Cincinnati	Ohio
0	Aug 2nd 1994	http://www.profightdb.com/cards/wwf/superstars-of-wrestling-taping-413-13228.html	Wheeling	West Virginia
1	Aug 2nd 1994	http://www.profightdb.com/cards/wwf/superstars-of-wrestling-taping-412-13227.html	Wheeling	West Virginia
2	Aug 2nd 1994	http://www.profightdb.com/cards/wwf/superstars-of-wrestling-taping-411-13226.html	Wheeling	West Virginia
3	Aug 1st 1994	http://www.profightdb.com/cards/wwf/monday-night-raw-taping-877.html	Youngstown	Ohio
4	Aug 1st 1994	http://www.profightdb.com/cards/wwf/monday-night-raw-876.html	Youngstown	Ohio
5	Jul 3rd 1994	http://www.profightdb.com/cards/wwf/superstars-of-wrestling-taping-410-13224.html	Ocean City	Maryland
6	Jul 3rd 1994	http://www.profightdb.com/cards/wwf/superstars-of-wrestling-taping-409-13223.html	Ocean City	Maryland
7	Jul 3rd 1994	http://www.profightdb.com/cards/wwf/superstars-of-wrestling-taping-408-13222.html	Ocean City	Maryland
8	Jul 2nd 1994	http://www.profightdb.com/cards/wwf/wrestling-challenge-taping-412-15366.html	Bethlehem	Pennsylvania
9	Jul 2nd 1994	http://www.profightdb.com/cards/wwf/wrestling-challenge-taping-411-15365.html	Bethlehem	Pennsylvania
0	Jul 2nd 1994	http://www.profightdb.com/cards/wwf/wrestling-challenge-taping-410-15364.html	Bethlehem	Pennsylvania
1	Jul 1st 1994	http://www.profightdb.com/cards/wwf/monday-night-raw-taping-875.html	Bushkill	Pennsylvania
